loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,annual_inc,issue_d,loan_status,monthly_income,emp_industry,age
5000, 36 months,13.56,169.83,C,C1,Public Affairs Specialist,10+ years,175000,Aug-18,FALSE,14583.333333333334,other,33
4000, 36 months,10.9,130.77,B,B4,Reception/Sales,1 year,25000,Mar-18,TRUE,2083.3333333333335,other,21
5000, 36 months,23.4,194.6,E,E1,Sales,7 years,120000,Jul-18,TRUE,10000,other,56
5500, 36 months,14.47,189.24,C,C2,other,,26300,Dec-18,FALSE,2191.6666666666665,other,20
11200, 60 months,16.14,273.2,C,C4,Engeneering,1 year,35000,Aug-18,TRUE,2916.6666666666665,other,23
36000, 60 months,15.04,857.2,C,C4,Logistics Coordinator,10+ years,65000,May-18,TRUE,5416.666666666667,other,48
21925, 36 months,10.91,716.87,B,B4,Senior Supervisor,8 years,152000,Feb-18,TRUE,12666.666666666666,other,58
10000, 36 months,18.45,363.79,D,D2,Customer service ,< 1 year,32000,Jun-18,TRUE,2666.6666666666665,other,24
7925, 36 months,16.91,282.2,C,C5,station agent,10+ years,50000,Dec-18,FALSE,4166.666666666667,other,34
10000, 36 months,14.08,342.17,C,C3,Cook ,10+ years,35000,Feb-18,TRUE,2916.6666666666665,other,24
14000, 60 months,26.77,425.58,E,E5,utility ,2 years,30000,Apr-18,FALSE,2500,other,23
18500, 60 months,9.92,392.35,B,B2,Nurse,4 years,68000,Apr-18,FALSE,5666.666666666667,other,35
15000, 36 months,6.83,462,A,A3,Plant Manager,10+ years,154000,May-18,FALSE,12833.333333333334,other,34
15000, 60 months,6.11,290.76,A,A1,other,,59000,Sep-18,FALSE,4916.666666666667,other,47
7200, 36 months,11.8,238.46,B,B4,other,< 1 year,75000,Dec-18,FALSE,6250,other,59
36000, 36 months,6.72,1106.98,A,A3,attorney,10+ years,200000,Feb-18,FALSE,16666.666666666668,other,43
9000, 36 months,11.98,298.85,B,B5,Project Coordinator,1 year,50000,May-18,FALSE,4166.666666666667,other,33
3000, 36 months,11.99,99.63,B,B5,Accounts Payable,10+ years,37500,Jan-18,TRUE,3125,other,24
12000, 36 months,16.91,427.3,C,C5,Plumbing Technician,10+ years,47132.8,Aug-18,TRUE,3927.7333333333336,other,30
7200, 36 months,14.03,246.19,C,C2,Teacher,10+ years,43000,Jun-18,TRUE,3583.3333333333335,other,25
10000, 36 months,7.96,313.18,A,A5,Office ,10+ years,42000,May-18,FALSE,3500,other,26
15000, 36 months,6.71,461.18,A,A3,other,,98750,Mar-18,FALSE,8229.166666666666,other,39
35000, 36 months,14.07,1197.41,C,C3,Analyst,2 years,146000,Apr-18,FALSE,12166.666666666666,other,33
36000, 60 months,10.42,772.36,B,B3,EPIC Credentialed Trainer,3 years,67000,Jan-18,TRUE,5583.333333333333,other,47
16000, 36 months,16.01,562.6,C,C5,Mamager,5 years,70000,Apr-18,TRUE,5833.333333333333,other,58
12000, 36 months,13.59,407.75,C,C2,Lifestyle Product Specialist ,< 1 year,50000,Mar-18,FALSE,4166.666666666667,other,32
10000, 60 months,14.07,233.05,C,C3,driver,8 years,95000,Apr-18,FALSE,7916.666666666667,other,41
5900, 36 months,12.62,197.72,C,C1,Director,10+ years,73000,Feb-18,FALSE,6083.333333333333,other,46
4800, 36 months,19.92,178.19,D,D3,First Officer,1 year,100000,Aug-18,TRUE,8333.333333333334,other,56
40000, 60 months,10.9,867.71,B,B4,Maneger,10+ years,189000,Apr-18,TRUE,15750,other,37
29000, 60 months,12.73,655.84,B,B5,other,,60000,Aug-18,FALSE,5000,other,38
18000, 60 months,10.9,390.47,B,B4,Superintendent,10+ years,83000,Mar-18,TRUE,6916.666666666667,other,55
20000, 36 months,8.08,627.47,A,A5,other,,24000,Jun-18,TRUE,2000,other,20
20000, 36 months,10.33,648.45,B,B1,Truck Drive,3 years,54000,Dec-18,FALSE,4500,other,33
7000, 36 months,7.21,216.82,A,A3,Warehouse Associate,2 years,32000,Oct-18,FALSE,2666.6666666666665,other,24
20000, 60 months,28.72,631.44,F,F1,Registered Nurse,4 years,60000,Jun-18,TRUE,5000,other,51
5000, 36 months,12.13,166.39,B,B5,CME Coordinator,6 years,52000,Jun-18,TRUE,4333.333333333333,other,29
25000, 60 months,21.45,682.68,D,D5,AV TECHNICIAN,10+ years,90000,Feb-18,TRUE,7500,other,39
6000, 36 months,15.04,208.11,C,C4,other,,25000,May-18,TRUE,2083.3333333333335,other,22
33300, 36 months,20.39,1244.18,D,D4,INVESTIGATOR,10+ years,74000,Jun-18,TRUE,6166.666666666667,other,45
35000, 36 months,16.01,1230.67,C,C5,Owner,2 years,275000,Mar-18,TRUE,22916.666666666668,other,38
20000, 60 months,17.47,502.12,D,D1,CDL Driver,10+ years,53000,Apr-18,TRUE,4416.666666666667,other,31
15000, 60 months,18.06,381.4,D,D2,Massage Therapist,4 years,28000,Jan-18,TRUE,2333.3333333333335,other,24
20000, 60 months,13.58,461.03,C,C2,Facility Manager,3 years,95000,May-18,TRUE,7916.666666666667,other,46
12500, 36 months,13.56,424.56,C,C1,Teacher,2 years,28600,Sep-18,FALSE,2383.3333333333335,other,23
12000, 60 months,26.3,361.42,E,E5,Irrigation technition,< 1 year,43000,Feb-18,TRUE,3583.3333333333335,other,27
40000, 60 months,11.8,885.75,B,B4,other,< 1 year,80000,Dec-18,FALSE,6666.666666666667,other,39
10000, 36 months,11.8,331.19,B,B4,Mobile Audio Technician,8 years,50000,Dec-18,FALSE,4166.666666666667,other,32
25000, 36 months,7.35,775.94,A,A4,Lead Dispatcher,5 years,68000,Feb-18,TRUE,5666.666666666667,other,51
19000, 60 months,24.84,555.9,E,E3,Store Manager,7 years,59453,Mar-18,TRUE,4954.416666666667,other,41
35000, 36 months,7.34,1086.15,A,A4,Sr. Tooling Engineer ,3 years,100000,Apr-18,FALSE,8333.333333333334,other,36
10000, 36 months,6.11,304.72,A,A1,Commercial Lender,10+ years,95000,Sep-18,FALSE,7916.666666666667,other,52
7500, 36 months,10.08,242.29,B,B1,Wood Shop Foreman ,10+ years,45000,Oct-18,TRUE,3750,other,29
32000, 60 months,12.61,721.73,C,C1,Csr,< 1 year,28000,Mar-18,FALSE,2333.3333333333335,other,20
12000, 60 months,15.49,288.58,C,C4,Printer,10+ years,42000,Jun-18,TRUE,3500,other,28
16500, 36 months,6.11,502.79,A,A1,Senior Truck Mechanic ,2 years,80000,Oct-18,FALSE,6666.666666666667,other,58
15000, 60 months,10.56,322.86,B,B3,Controller,1 year,90000,May-18,FALSE,7500,other,34
19200, 60 months,10.42,411.93,B,B3,Owner,10+ years,110000,Jan-18,FALSE,9166.666666666666,other,50
40000, 60 months,12.62,902.37,C,C1,Superintendant,10+ years,94000,Jan-18,TRUE,7833.333333333333,other,53
15000, 36 months,9.93,483.52,B,B2,Staff Nurse,9 years,88000,Feb-18,FALSE,7333.333333333333,other,61
23000, 60 months,14.47,540.8,C,C2,CEO,10+ years,175000,Jul-18,TRUE,14583.333333333334,other,42
22000, 60 months,16.02,535.24,C,C5,truck driver,5 years,70000,Jan-18,TRUE,5833.333333333333,other,39
25000, 60 months,10.72,540.08,B,B2,other,,75000,Nov-18,FALSE,6250,other,50
1500, 36 months,12.61,50.26,C,C1,Sales,7 years,33280,Apr-18,TRUE,2773.3333333333335,other,21
6000, 36 months,10.41,194.77,B,B3,Maintenance ,2 years,90000,Apr-18,TRUE,7500,other,34
28000, 60 months,15.04,666.71,C,C4,SMB Sales Consultant,1 year,110000,Feb-18,TRUE,9166.666666666666,other,32
35000, 60 months,12.62,789.57,C,C1,other,,88000,Feb-18,TRUE,7333.333333333333,other,38
12000, 36 months,11.05,393.15,B,B4,Deputy Sheriff,10+ years,75000,Jun-18,FALSE,6250,other,42
12000, 60 months,17.47,301.28,D,D1,Driver,3 years,19000,May-18,TRUE,1583.3333333333333,other,18
16000, 60 months,16.02,389.26,C,C5,CNA,< 1 year,15000,Jan-18,TRUE,1250,other,19
13400, 60 months,30.65,438.91,F,F4,Material Handler,< 1 year,39000,Feb-18,TRUE,3250,other,26
32000, 36 months,12.61,1072.21,C,C1,education administrator,5 years,125000,May-18,TRUE,10416.666666666666,other,57
2400, 36 months,17.97,86.73,D,D1,other,< 1 year,15096,Aug-18,FALSE,1258,other,18
40000, 60 months,14.47,940.51,C,C2,Attorney ,9 years,160000,Jul-18,TRUE,13333.333333333334,other,50
20000, 36 months,6.11,609.44,A,A1,Foreman ,3 years,152000,Sep-18,FALSE,12666.666666666666,other,39
20000, 60 months,14.07,466.1,C,C3,Laborer,7 years,25000,Mar-18,TRUE,2083.3333333333335,other,21
16800, 36 months,12.73,563.88,B,B5,Senior Systems Engineer,5 years,118200,Oct-18,TRUE,9850,other,45
10000, 36 months,16.01,351.62,C,C5,Utility worker ,10+ years,100000,Apr-18,FALSE,8333.333333333334,other,38
5000, 36 months,10.56,162.66,B,B3,Sales Host,10+ years,24000,Jun-18,FALSE,2000,other,21
